"title,","doi,",authors
DarkDistill: Difficulty-Aligned Federated Early-Exit Network Training on Heterogeneous Devices,https://doi.org/10.1145/3711896.3736902,"Lehao Qu (SKLCCSE Lab, Beihang University); Shuyuan Li (Department of Data Science, City University of Hong Kong); Zimu Zhou (Department of Data Science, City University of Hong Kong); Boyi Liu (SKLCCSE Lab, Beihang University, City University of Hong Kong); Yi Xu (SKLCCSE Lab, Institute of Artificial Intelligence, Beihang University); Yongxin Tong (SKLCCSE Lab, Beihang University)"
Data Watermarking for Sequential Recommender Systems,https://doi.org/10.1145/3711896.3736903,Sixiao Zhang (Nanyang Technological University); Cheng Long (Nanyang Technological University); Wei Yuan (The University of Queensland); Hongxu Chen (The University of Queensland); Hongzhi Yin (The University of Queensland)
Decoupling Spatio-Temporal Prediction: When Lightweight Large Models Meet Adaptive Hypergraphs,https://doi.org/10.1145/3711896.3736904,"Jiawen Chen (School of Mathematics, Southeast University); Qi Shao (School of Mathematics, Southeast University); Duxin Chen (School of Mathematics, Southeast University); Wenwu Yu (School of Mathematics, Southeast University)"
Depth-Adaptive Graph Neural Networks via Learnable Bakry-Émery Curvature,https://doi.org/10.1145/3711896.3736905,"Asela Hevapathige (School of Computing, Australian National University); Ahad N. Zehmakan (School of Computing, Australian National University); Qing Wang (School of Computing, Australian National University)"
Detecting Interference using Dyadic Data in Online Controlled Experiments,https://doi.org/10.1145/3711896.3736906,Yilin Li (Tencent); Lu Deng (Tencent); Yong Wang (Tencent)
Difference-in-Differences Subset Scan,https://doi.org/10.1145/3711896.3736907,"Will Stamey (IT, Analytics and Operations, University of Notre Dame); Sriram Somanchi (IT, Analytics, and Operations, University of Notre Dame); Edward McFowland III (Technology and Operations Management, Harvard University)"
Diffmv: A Unified Diffusion Framework for Healthcare Predictions with Random Missing Views and View Laziness,https://doi.org/10.1145/3711896.3736908,"Chuang Zhao (The Hong Kong University of Science and Technology); Hui Tang (The Hong Kong University of Science and Technology); Hongke Zhao (College of Management and Economics & Laboratory of Computation and Analytics of Complex Management Systems (CACMS), Tianjin University,ai-deepcube.com); Xiaomeng Li (The Hong Kong University of Science and Technology)"
Diffusion-Guided Diversity for Single Domain Generalization in Time Series Classification,https://doi.org/10.1145/3711896.3736909,"Junru Zhang (Computer Science and Technology, Zhejiang University); Lang Feng (College of Computing and Data Science, Nanyang Technological University); Xu Guo (Department of Intelligent Systems, KTH Royal Institute of Technology); Han Yu (College of Computing and Data Science, Nanyang Technological University); Yabo Dong (Computer Science and Technology, Zhejiang University); Duanqing Xu (Computer Science and Technology, Zhejiang University)"
Diffusion-Scheduled Denoising Autoencoders for Anomaly Detection in Tabular Data,https://doi.org/10.1145/3711896.3736910,"Timur Sattarov (School of Computer Science, University of St. Gallen,Research Data and Service Centre, Deutsche Bundesbank); Marco Schreyer (AI-DA Group, Swiss Federal Audit Office (SFAO),Big Data Group, International Computer Science Institute); Damian Borth (School of Computer Science, University of St. Gallen)"
DiSa: Directional Saliency-Aware Prompt Learning for Generalizable Vision-Language Models,https://doi.org/10.1145/3711896.3736911,Niloufar Alipour Talemi (Clemson University); Hossein Kashiani (Clemson University); Hossein R. Nowdeh (Clemson University); Fatemeh Afghah (Clemson University)
Discrepancy-Aware Graph Mask Auto-Encoder,https://doi.org/10.1145/3711896.3736912,"Ziyu Zheng (School of Computer Science and Technology, Xidian University); Yaming Yang (School of Computer Science and Technology, Xidian University); Ziyu Guan (School of Computer Science and Technology, Xidian University); Wei Zhao (School of Computer Science and Technology, Xidian University); Weigang Lu (School of Computer Science and Technology, Xidian University)"
Divergent Paths: Separating Homophilic and Heterophilic Learning for Enhanced Graph-level Representations,https://doi.org/10.1145/3711896.3736913,"Han Lei (College of Computing and Data Science, Nanyang Technological University); Jiaxing Xu (College of Computing and Data Science, Nanyang Technological University); Xia Dong (College of Computing and Data Science, Nanyang Technological University); Yiping Ke (College of Computing and Data Science, Nanyang Technological University)"
Does Vector Quantization Fail in Spatio-Temporal Forecasting? Exploring a Differentiable Sparse Soft-Vector Quantization Approach,https://doi.org/10.1145/3711896.3736914,"Chao Chen (Central South University); Tian Zhou (Damo Academy, Alibaba Group); Yanjun Zhao (Damo Academy, Alibaba Group); Hui Liu (Central South University); Liang Sun (Damo Academy, Alibaba Group); Rong Jin (Damo Academy, Alibaba Group)"
Dual-Head Knowledge Distillation: Enhancing Logits Utilization with an Auxiliary Head,https://doi.org/10.1145/3711896.3736915,Penghui Yang (Nanyang Technological University); Chen-Chen Zong (Nanjing University of Aeronautics and Astronautics); Sheng-Jun Huang (Nanjing University of Aeronautics and Astronautics); Lei Feng (Southeast University); Bo An (Nanyang Technological University)
Dual Structure-guided Contrastive Network for Incomplete Multi-view Partial Multi-label Classification,https://doi.org/10.1145/3711896.3736916,"Kaixin Xu (School of Software Technology, Zhejiang University); Yangyang Wu (School of Software Technology, Zhejiang University); Shijun Wu (Statistics, Hangzhou Dianzi University); Xiaoye Miao (Center for Data Science, Zhejiang University); Guoqing Chao (Department of Software Engineering, Harbin Institute of Technology); Mengying Zhu (School of Software Technology, Zhejiang University); Meng Xi (School of Software Technology, Zhejiang University); Xinkui Zhao (School of Software Technology, Zhejiang University)"
Dynamic Learnware Filtering for Efficient Learnware Identification and System Slimming,https://doi.org/10.1145/3711896.3736917,"Jian-Dong Liu (National Key Laboratory for Novel Software Technology, Nanjing University,School of Artificial Intelligence, Nanjing University); Zhi-Hao Tan (National Key Laboratory for Novel Software Technology, Nanjing University,School of Artificial Intelligence, Nanjing University); Zhi-Hua Zhou (National Key Laboratory for Novel Software Technology, Nanjing University,School of Artificial Intelligence, Nanjing University)"
"Dynamic Structural Clustering Unleashed: Flexible Similarities, Versatile Updates and for All Parameters",https://doi.org/10.1145/3711896.3736918,"Zhuowei Zhao (CIS, The University of Melbourne); Junhao Gan (School of Computing and Information Systems, The University of Melbourne); Boyu Ruan (Computer Science and Engineering, The Hong Kong University of Science and Technology); Zhifeng Bao (Computing, RMIT University); Jianzhong Qi (School of Computing and Information Systems, The University of Melbourne); Sibo Wang (Department of Systems Engineering and Engineering Management, The Chinese University of Hong Kong)"
EARN: Efficient Inference Acceleration for LLM-based Generative Recommendation by Register Tokens,https://doi.org/10.1145/3711896.3736919,Chaoqun Yang (Tsinghua University); Xinyu Lin (National University of Singapore); Wenjie Wang (University of Science and Technology of China); Yongqi Li (Hong Kong Polytechnic University); Teng Sun (Shandong University); Xianjing Han (National University of Singapore); Tat-Seng Chua (National University of Singapore)
Efficient Algorithms for Relevant Quantities of Friedkin-Johnsen Opinion Dynamics Model,https://doi.org/10.1145/3711896.3736920,"Gengyu Wang (Computation and Artificial Intelligence Innovative College, Fudan University); Runze Zhang (Computation and Artificial Intelligence Innovative College, Fudan University); Zhongzhi Zhang (Computation and Artificial Intelligence Innovative College, Fudan University)"
