title,doi,author,affiliation
AnomalyGFM: Graph Foundation Model for Zero/Few-shot Anomaly Detection,https://doi.org/10.1145/3711896.3736843,"['Hezhe Qiao', 'Chaoxi Niu', 'Ling Chen', 'Guansong Pang']","['School of Computing and Information Systems, Singapore Management University', 'Australian Artificial Intelligence Institute, University of Technology Sydney', 'Australian Artificial Intelligence Institute, University of Technology Sydney', 'School of Computing and Information Systems, Singapore Management University']"
Anytime Algorithms for Approximate Functional Dependencies,https://doi.org/10.1145/3711896.3736844,"['Sanjivni Rana', 'Junya Ogawa', 'Suraj Shetiya', 'Senjuti Basu Roy', 'Gautam Das']","['University of Texas at Arlington', 'University of Texas at Arlington', 'Indian Institute of Technology, Bombay', 'New Jersey Institute of Technology', 'University of Texas at Arlington']"
Are You Using Reliable Graph Prompts? Trojan Prompt Attacks on Graph Neural Networks,https://doi.org/10.1145/3711896.3736845,"['Minhua Lin', 'Zhiwei Zhang', 'Enyan Dai', 'Zongyu Wu', 'Yilong Wang', 'Xiang Zhang', 'Suhang Wang']","['The Pennsylvania State University', 'The Pennsylvania State University', 'Hong Kong University of Science and Technology (Guangzhou)', 'The Pennsylvania State University', 'The Pennsylvania State University', 'The Pennsylvania State University', 'The Pennsylvania State University']"
Are Your Fairness Metrics Accurate? A Semi-Supervised Approach to Improving Fairness Estimates Under Sample Selection Bias,https://doi.org/10.1145/3711896.3736846,"['M. Clara De Paolis Kaluza', 'Thulasi Tholeti', 'Yile Chen', 'Ricardo Baeza-Yates', 'Predrag Radivojac', 'Shantanu Jain']","['Khoury College of Computer Sciences, Northeastern University', 'Institute for Experiential AI, Northeastern University', 'Department of Biomedical Informatics and Medical Education, University of Washington', 'AI Institute, Barcelona Supercomputing Center', 'Khoury College of Computer Sciences, Northeastern University', 'Institute for Experiential AI, Northeastern University']"
ArnoldiGCL: Graph Contrastive Learning via Learnable Arnoldi-Based Guided Spectral Chebyshev Polynomial Filters,https://doi.org/10.1145/3711896.3736847,"['Mustafa Coskun', 'Abdelkader Baggag', 'Mehmet Koyutürk']","['Artificial Intelligence and Data Engineering, Ankara University', 'Qatar Computing Research Institute, Hamad Bin Khalifa University', 'Dept. of Computer and Data Sciences, Case Western Reserve University']"
ATOM: A Framework of Detecting Query-Based Model Extraction Attacks for Graph Neural Networks,https://doi.org/10.1145/3711896.3736848,"['Zhan Cheng', 'Bolin Shen', 'Tianming Sha', 'Yuan Gao', 'Shibo Li', 'Yushun Dong']","['Department of Mathematics, University of Wisconsin – Madison', 'Florida State University', 'Department of Computer Science, Arizona State University', 'Department of Computer Sciences, University of Wisconsin – Madison', 'Department of Computer Science, Florida State University', 'CS, Florida State University']"
AtomR: Atomic Operator-Empowered Large Language Models for Heterogeneous Knowledge Reasoning,https://doi.org/10.1145/3711896.3736849,"['Amy Xin', 'Jinxin Liu', 'Zijun Yao', 'Zhicheng Lee', 'Shulin Cao', 'Lei Hou', 'Juanzi Li']","['Tsinghua University', 'Tsinghua University', 'Tsinghua University', 'Tsinghua University', 'Zhipu AI', 'Tsinghua University', 'Tsinghua University']"
Auto-Bidding in Real-Time Auctions via Oracle Imitation Learning,https://doi.org/10.1145/3711896.3736850,"['Alberto Silvio Chiappa', 'Briti Gangopadhyay', 'Zhao Wang', 'Shingo Takamatsu']","['EPFL', 'Sony Group Corporation', 'Sony Group Corporation', 'Sony Group Corporation']"
Bayesian Optimization for Simultaneous Selection of Machine Learning Algorithms and Hyperparameters on Shared Latent Space,https://doi.org/10.1145/3711896.3736851,"['Kazuki Ishikawa', 'Ryota Ozaki', 'Yohei Kanzaki', 'Ichiro Takeuchi', 'Masayuki Karasuyama']","['Graduate School of Engineering, Nagoya Institute of Technology', 'Nagoya Institute of Technology', 'Nagoya Institute of Technology', 'Nagoya University', 'Department of Computer Science, Nagoya Institute of Technology']"
Bayesian Stream Tuner: Dynamic Hyperparameter Optimization for Real-Time Data Streams,https://doi.org/10.1145/3711896.3736852,"['Nilesh Verma', 'Albert Bifet', 'Bernhard Pfahringer', 'Maroua Bahri']","['AI Institute, University of Waikato', 'AI Institute, The University of Waikato', 'Department of Computer Science, The University of Waikato', 'Sorbonne Université, CNRS, LIP6']"
