title,author,doi,affiliation
PreGIP: Watermarking the Pretraining of Graph Neural Networks for Deep IP Protection,"Enyan Dai (AI Thrust, HKUST (GZ)); Minhua Lin (College of Information Sciences and Technology, Pennsylvania State University); Suhang Wang (College of Information Sciences and Technology, Pennsylvania State University)",https://doi.org/10.1145/3711896.3737089,HKUST (GZ); Pennsylvania State University; Pennsylvania State University
Progressive Stacking for Scalable Graph Condensation,"Yibing Bai (Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education); Min Gao (Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education); Zongwei Wang (Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education); Xinyi Gao (University of Queensland); Wentao Li (University of Leicester)",https://doi.org/10.1145/3711896.3737090,Chongqing University; Chongqing University; Chongqing University; University of Queensland; University of Leicester
Prompt as a Double-Edged Sword: A Dynamic Equilibrium Gradient-Assigned Attack against Graph Prompt Learning,"Ju Jia (School of Cyber Science and Engineering, Southeast University,Engineering Research Center of Blockchain Application, Supervision and Management (Southeast University), Ministry of Education); Jingxuan Yu (School of Cyber Science and Engineering, Southeast University); Di Wu (School of Mathematics, Physics and Computing, University of Southern Queensland); Cong Wu (Department of Electrical and Electronic Engineering, University of Hong Kong); Hengjie Zhu (University of the Chinese Academy of Sciences); Lina Wang (Wuhan University)",https://doi.org/10.1145/3711896.3737091,Southeast University; Southeast University; University of Southern Queensland; University of Hong Kong; Chinese Academy of Sciences; Wuhan University
Proximity Matters: Local Proximity Enhanced Balancing for Treatment Effect Estimation,"Hao Wang (Zhejiang University); Zhichao Chen (Zhejiang University); Zhaoran Liu (Zhejiang University); Xu Chen (Gaoling School of Artificial Intelligence, Renmin University of China); Haoxuan Li (Center for Data Science, Peking University); Zhouchen Lin (School of Intelligence Science and Technology, Peking University)",https://doi.org/10.1145/3711896.3737092,Zhejiang University; Zhejiang University; Zhejiang University; Renmin University of China; Peking University; Peking University
Proxy-Validated Importance-Aware Federated Sample Selection with Meta Learning,"Yan Zhang (Center for Data Science, Zhejiang University); Xiaoye Miao (Center for Data Science, Zhejiang University); Bin Li (Center for Data Science, Zhejiang University); Yangyang Wu (School of Software Technology, Zhejiang University); Yongheng Shang (School of Computer Science and Technology, Zhejiang University)",https://doi.org/10.1145/3711896.3737093,Zhejiang University; Zhejiang University; Zhejiang University; Zhejiang University; Zhejiang University
PSSketch: Finding Persistent and Sparse Flow with High Accuracy and Efficiency,Jiayao Wang (National University of Defense Technology); Qilong Shi (Tsinghua University); Xiyan Liang (Nankai University); Han Wang (Peng Cheng Laboratory); Wenjun Li (Peng Cheng Laboratory); Ziling Wei (National University of Defense Technology); Weizhe Zhang (Harbin Institute of Technology); Shuhui Chen (National University of Defense Technology),https://doi.org/10.1145/3711896.3737094,National University of Defense Technology; Tsinghua University; Nankai University; Peng Cheng Laboratory; Peng Cheng Laboratory; National University of Defense Technology; Harbin Institute of Technology; National University of Defense Technology
PuzzleTensor: A Method-Agnostic Data Transformation for Compact Tensor Factorization,"Yong-chan Park (Dept. of Computer Science and Engineering, Seoul National University); Kisoo Kim (Interdisciplinary Program in Artificial Intelligence, Seoul National University); U Kang (Computer Science and Engineering, Seoul National University)",https://doi.org/10.1145/3711896.3737095,Seoul National University; Seoul National University; Seoul National University
Quantizing Text-attributed Graphs for Semantic-Structural Integration,Jianyuan Bo (Singapore Management University); Hao Wu (Beijing Normal University); Yuan Fang (Singapore Management University),https://doi.org/10.1145/3711896.3737096,Singapore Management University; Beijing Normal University; Singapore Management University
Quick Draw Bandits: Quickly Optimizing in Nonstationary Environments with Extremely Many Arms,Derek Everett (Booz Allen Hamilton); Fred Lu (Booz Allen Hamilton); Edward Raff (Booz Allen Hamilton); Fernando Camacho (Laboratory for Physical Sciences); James Holt (Laboratory for Physical Sciences),https://doi.org/10.1145/3711896.3737097,Booz Allen Hamilton; Booz Allen Hamilton; Booz Allen Hamilton; Laboratory for Physical Sciences; Laboratory for Physical Sciences
Range-limited Augmentation for Few-shot Learning in Tabular Data with Comprehensive Benchmark,"Kyungeun Lee (Data Intelligence Lab, LG AI Research); Moonjung Eo (Data Intelligence Lab, LG AI Research); Hye-Seung Cho (Data intelligence Lab, LG AI Research); Min-Kook Suh (Data Intelligence Lab, LG AI Research); Seoyoon Kim (Data Intelligence Lab, LG AI Research); Ye Seul Sim (Data Intelligence Lab, LG AI Research); Suhee Yoon (Data Intelligence Lab, LG AI Research); Sanghyu Yoon (Data Intelligence Lab, LG AI Research); Woohyung Lim (Applied AI Research Group, LG AI Research)",https://doi.org/10.1145/3711896.3737098,LG AI Research; LG AI Research; LG AI Research; LG AI Research; LG AI Research; LG AI Research; LG AI Research; LG AI Research; LG AI Research
"Rank It, Then Ask It: Input Reranking for Maximizing the Performance of LLMs on Symmetric Tasks",Mohsen Dehghankar (University of Illinois Chicago); Abolfazl Asudeh (University of Illinois Chicago),https://doi.org/10.1145/3711896.3737099,University of Illinois Chicago; University of Illinois Chicago
READ: Robust and Efficient Anomaly Detection under Data Contamination and Limited Supervision,"Hongzhe Shou (School of Data Science & Engineering, East China Normal University); Guanyu Lu (School of Data Science & Engineering, East China Normal University); Martin Pavlovski (Samsung Ads, Samsung Electronics America); Fang Zhou (School of Data Science & Engineering, East China Normal University)",https://doi.org/10.1145/3711896.3737100,East China Normal University; East China Normal University; Samsung Electronics America; East China Normal University
REDEEMing Modality Information Loss: Retrieval-Guided Conditional Generation for Severely Modality Missing Learning,"Jian Lang (University of Electronic Science and Technology of China); Rongpei Hong (University of Electronic Science and Technology of China); Zhangtao Cheng (University of Electronic Science and Technology of China); Ting Zhong (University of Electronic Science and Technology of China); Yong Wang (Aiwen Tech,Hong Kong University of Science and Technology); Fan Zhou (University of Electronic Science and Technology of China,Key Laboratory of Intelligent Digital Media Technology of Sichuan Province)",https://doi.org/10.1145/3711896.3737101,University of Electronic Science and Technology of China; University of Electronic Science and Technology of China; University of Electronic Science and Technology of China; University of Electronic Science and Technology of China; Hong Kong University of Science and Technology; University of Electronic Science and Technology of China
